mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,label
-341.1573,66.63908,-8.378774,-0.02177653,-11.916958,0.04597561,-2.571722,4.672033,2.199328,9.227323,11.889404,20.246105,18.50204,3
-320.61996,64.90201,-16.580053,-8.991538,-13.07261,1.9921844,-2.0875242,4.3055267,0.5824843,5.0546646,11.628247,21.442999,20.588993,3
-332.84927,53.517685,-12.374627,-2.0429456,-17.897173,7.503664,7.315766,11.814835,-2.6235087,6.662587,9.000653,14.816359,13.810531,3
-355.80927,50.161343,-9.174225,8.047331,-9.303749,9.4329605,1.4636673,7.7116394,-1.9741869,9.747025,10.017196,16.40294,13.577753,3
-358.97934,42.359886,-11.242902,9.883249,-14.37114,5.13504,-3.4793491,6.3234944,-6.8974104,7.91335,5.8919687,13.393426,9.103457,3
-336.54285,53.31035,-9.053031,3.9429834,-12.477015,7.699815,2.2447166,8.225785,-1.9211231,7.46563,9.808947,16.380623,15.239645,3
-341.51596,54.184025,-12.0188875,2.52275,-13.302128,7.5017176,3.299915,8.792418,-3.4663365,7.9325104,8.847234,15.389792,13.188806,3
-326.21698,61.35448,-12.257813,-4.847087,-18.538109,2.9661493,3.5540316,8.236496,-2.1644661,8.30186,11.453669,15.527161,14.221046,3
-335.82004,67.599236,-10.429594,-3.9198515,-13.877455,1.0785737,-1.635292,4.7184443,2.5907445,9.811685,12.482792,19.779829,17.376875,3
-321.97375,65.753624,-11.678698,-2.4253335,-10.592216,-0.29992768,-5.372285,3.2442088,2.4475374,7.6808467,11.44737,19.869377,18.869892,3
-317.9639,68.66012,-13.359042,-6.3399925,-11.486197,-0.45993292,-7.3632593,0.9109546,2.1966572,7.276368,11.646607,20.19458,20.851068,3
-340.3189,67.67779,-8.374141,-0.55028695,-12.130375,0.7570609,-2.181638,5.237686,2.3370852,9.47612,12.452229,19.598751,17.47215,3
-324.74475,57.03477,-13.5411625,-3.5444283,-16.92181,3.8349917,2.7741544,5.6713157,-4.924482,8.866161,13.895829,17.397968,15.449485,3
-350.06537,51.401524,-9.886125,6.8011494,-11.58252,6.9947968,0.53696847,8.0675745,-2.5475972,9.503452,9.898301,16.829689,13.876253,3
-337.94968,51.847263,-8.390665,5.7545447,-11.350202,8.25697,2.3693526,8.019838,-1.8174897,8.34746,9.5260725,16.18818,15.575197,3
-344.3736,58.023026,-8.842252,2.7016761,-11.497028,6.7230177,2.5773935,8.581076,0.6643487,9.007261,10.211352,15.840578,14.727928,3
-361.1308,49.523235,-8.960787,8.435534,-8.576762,9.811943,1.0342869,7.924336,-1.512708,9.070071,9.774976,16.277225,13.7604475,3
-338.2179,65.38085,-10.757263,-1.9803481,-12.11784,0.4884437,-1.9447948,5.010217,2.2727196,9.414168,12.291107,19.811108,18.386913,3
-335.7213,66.10412,-10.034084,-2.6346433,-13.554856,1.6076468,-1.9804485,4.4752364,1.5329388,9.520659,12.997612,20.672174,18.56405,3
-337.73615,65.85514,-9.778332,-1.8813422,-12.842344,1.4402227,-1.7025777,5.1132164,1.9841635,9.077002,11.966149,20.111692,18.297928,3
-338.48358,65.93302,-10.339867,-2.2514975,-12.366239,1.0894645,-1.9553471,4.100763,1.4555733,9.15021,12.465044,20.202658,18.676914,3
-349.05048,50.511692,-9.588863,6.627916,-12.083847,8.775214,1.2098517,9.05754,-2.3284488,9.260172,9.598127,15.823124,13.300394,3
-340.8172,55.474422,-9.902236,2.7619278,-11.584513,7.9783792,3.9179826,9.182354,-0.7343228,7.536204,9.356222,15.963157,15.493881,3
-356.07837,49.589603,-9.382176,7.6434784,-9.409133,8.516141,1.1919435,8.132222,-0.9535527,9.255288,9.126979,15.838697,14.29927,3
-341.40027,53.854992,-8.403627,5.0198774,-10.497771,8.540511,2.0487006,7.9905987,-0.9867091,8.154638,9.873415,16.16249,16.029776,3
-340.94244,66.7822,-10.483613,-2.6547794,-12.027286,1.5286875,-1.8960253,4.5507007,2.6929672,10.311844,12.919852,18.864174,16.782417,3
-328.6131,68.94341,-9.784127,-4.330951,-15.385742,-0.7800303,-4.505114,3.5968623,2.0256786,9.094285,12.532238,20.753567,18.349852,3
-342.6579,66.46607,-8.641421,0.33161816,-10.546992,1.7807729,-1.1466905,5.6454797,2.924533,10.3950205,12.939738,19.375967,16.84808,3
-342.59708,66.2417,-9.16157,-0.25923872,-10.858607,1.5460228,-1.4307206,4.4763136,1.6355238,9.590796,12.991678,20.149271,18.116158,3
-337.82083,66.56397,-9.293723,-2.0662878,-13.865034,0.37790513,-2.1014562,5.140739,2.236105,9.5330105,12.341982,20.43238,18.234715,3
-344.83527,66.33095,-8.241385,0.023752443,-12.479361,-0.42320067,-2.9487338,4.7567625,2.8114495,10.4656925,13.023164,20.131088,17.612986,3
-335.191,58.39763,-10.707748,-0.91615963,-15.354442,5.687868,4.023556,9.6496525,-0.69594085,7.7151995,9.817039,16.204054,15.42124,3
-349.98514,50.688034,-9.665858,6.5465417,-11.570702,8.151921,1.1885166,8.932829,-2.2068233,9.105212,10.17435,15.807436,13.470917,3
-308.97864,68.539444,-13.341779,-3.720109,-4.7850266,0.9633561,-9.440393,-2.1061213,0.30599937,4.919915,10.281721,14.991931,17.400484,2
-305.68173,43.618603,-16.519566,-1.9464645,-16.480179,13.428042,-4.819199,-1.3702432,-0.46681467,13.397387,4.3634973,18.276213,14.396565,2
-285.73294,50.01444,-20.783867,-10.104549,-14.725866,13.62733,-2.7650003,-4.854251,1.5322713,13.71755,4.528506,19.437742,17.928549,2
-297.2939,40.2297,-20.144272,-4.7561173,-16.032593,14.45716,-5.221267,-3.7589204,-0.94340485,11.715559,1.2361901,17.610504,14.146185,2
-277.39993,53.98505,-24.861973,-17.787481,-16.820885,13.469857,-1.2845842,-6.544511,1.606733,14.154034,5.000533,18.859272,18.289953,2
-297.2016,46.739788,-19.162556,-5.930318,-15.621376,12.974997,-4.757261,-2.3204803,0.7924243,12.637377,3.7771592,18.863384,16.202808,2
-292.003,42.08138,-18.745968,-5.2600713,-14.483836,15.851815,-3.6888032,-2.0326905,2.736275,13.525944,4.1341324,19.578424,17.000114,2
-301.082,44.094883,-17.34889,-3.8798368,-14.6610155,13.531007,-2.392797,-2.6674902,1.4051564,14.40254,5.085958,20.118912,16.716839,2
-300.71487,45.5671,-18.634531,-5.5468626,-14.57113,13.222695,-1.207066,-3.6336005,1.9259769,15.381829,5.1083584,21.084175,16.156187,2
-299.629,48.11783,-20.26213,-8.125419,-13.50096,14.13479,-1.0440683,-1.7484162,2.0501392,12.426367,4.887393,19.400852,17.783478,2
