Frequency(Hz),REC1.wav,REC2.wav,REC3.wav,REC4.wav,REC5.wav,REC6.wav,REC7.wav,REC8.wav,REC9.wav,REC10.wav,REC11.wav,REC12.wav,REC13.wav,REC14.wav,REC15.wav,REC16.wav
1578.125,25.6495,7.3349,9.5775,13.1528,11.8157,8.2196,8.9831,7.3061,11.8254,7.4951,12.4395,4.5837,1.7229,18.2379,11.8142,16.962
1593.75,12.4356,18.6499,11.1705,11.5411,26.3262,12.2764,15.9864,9.0292,12.3681,5.6633,8.2716,20.2504,12.6329,20.7131,7.856,11.1274
1609.375,9.9858,6.832,18.9536,12.8416,9.9716,7.0355,19.1043,7.9135,3.6968,11.7064,12.9596,4.7012,9.5101,9.133,10.7782,19.0609
1625,18.7107,17.3025,16.3524,12.7149,14.6205,11.789,1.2696,13.7999,15.3404,20.4109,24.4976,3.3363,9.3505,12.5154,10.0964,19.8175
1640.625,15.0943,9.1078,8.0236,12.1305,17.0107,11.7186,13.639,15.9554,17.2869,16.7995,15.1073,19.305,19.2902,28.8971,13.3562,8.5222
1656.25,12.3471,17.6855,21.5409,21.9042,22.4394,24.9564,38.4645,25.9437,15.7514,27.7079,21.7665,17.1498,22.5851,12.6296,23.5084,10.5343
1671.875,16.3965,43.9965,18.8685,16.5384,13.1453,27.8665,26.1076,25.6341,36.9879,25.6639,26.1324,27.0272,23.7051,21.393,29.3718,27.8907
1687.5,25.9401,12.892,21.1044,28.6548,19.6571,32.2683,22.8003,27.4319,31.3359,25.2008,26.6889,8.1509,34.582,12.3729,23.402,22.3246
1703.125,31.2685,49.5846,28.4078,22.196,24.6909,28.2298,30.4552,35.4054,23.7653,35.2357,49.2106,21.524,36.0219,41.9165,44.9858,28.4176
1718.75,6.7145,27.5408,28.8948,25.7919,27.1579,49.0523,34.2608,44.1052,55.2129,40.2387,31.8196,33.4735,33.8293,14.1107,46.0876,27.5736
1734.375,42.6538,43.758,35.39,35.6289,33.5979,40.3514,55.8756,39.6282,36.5984,36.8835,38.3373,21.8509,43.5552,30.5615,43.2631,34.5384
1750,40.5292,44.3212,23.5091,29.7633,30.4143,38.6984,42.6185,37.4427,36.8261,51.5223,45.2977,37.2592,43.8989,34.6685,33.0926,27.9181
1765.625,28.1187,39.3516,36.9564,38.0718,43.5763,48.3435,38.7366,52.0531,58.8656,36.8369,45.9983,33.763,49.9087,27.451,60.415,39.6134
1781.25,35.6062,53.0534,42.1837,29.0315,19.2073,49.5079,45.5969,40.3919,43.0743,50.3026,46.7198,29.9728,47.5742,38.4913,48.4389,33.0704
1796.875,37.1204,46.0147,30.5527,35.1848,41.8255,38.8689,51.4117,51.4371,49.4687,50.143,41.8824,33.9076,39.4125,28.5015,43.3086,29.1273
1812.5,35.4657,54.9503,33.1035,37.1358,38.2191,53.7791,47.0585,54.9048,43.1219,46.0889,50.4434,32.3339,61.8024,35.1828,42.8416,39.4919
1828.125,33.5181,44.6846,51.5276,33.4017,34.6258,61.5291,48.9498,51.9097,52.072,53.2567,54.088,52.5935,39.0231,36.7334,35.8957,41.704
1843.75,34.7324,45.1381,28.8461,36.5944,35.8502,34.7613,52.4587,44.3483,38.9332,40.3153,44.1307,20.9909,53.9489,34.8913,54.012,30.4334
1859.375,34.865,47.1007,26.1574,32.6417,33.718,47.4677,37.5227,44.2169,52.1745,48.0505,52.1575,28.6219,42.9751,32.2365,59.4294,42.1728
1875,32.108,42.3069,47.8184,33.1552,36.4489,44.0573,46.2269,45.8378,42.9216,48.7152,38.7631,34.2169,48.6071,27.8235,32.9403,27.0086
1890.625,31.3385,47.2798,22.3476,40.9454,35.4858,49.3181,41.8538,38.4936,39.5117,41.9613,40.7577,40.9434,34.753,40.7191,57.7806,37.3547
1906.25,38.0746,32.8695,32.4651,31.7117,25.1641,30.1548,40.1289,45.3802,40.3262,36.2187,48.5071,23.6112,49.9493,18.0449,27.7953,28.753
1921.875,19.215,44.0882,25.8642,34.014,31.9697,45.4777,45.8463,38.7452,41.5556,37.3174,26.8461,34.8096,34.0024,37.6354,40.9522,29.0928
1937.5,38.4795,35.552,30.2967,27.3628,31.3125,38.0875,39.847,33.6471,41.1701,45.3896,40.6341,29.3158,33.9336,35.4318,37.6301,33.1098
1953.125,23.2883,33.8478,31.194,23.1855,25.4634,33.5745,28.0627,27.2413,27.2135,18.6556,28.0836,30.1298,32.6709,28.453,27.846,27.6459
1968.75,25.6839,32.646,28.1365,28.1346,27.7424,21.667,26.9973,35.6177,32.0488,40.9336,32.1996,27.2189,34.3148,16.7819,21.4243,25.4559
1984.375,22.3166,24.9996,21.2565,21.0484,28.339,27.8829,25.1888,20.3076,15.7851,19.4948,27.6336,19.5079,24.6094,31.1609,32.6373,18.3406
2000,31.455,26.6256,20.5976,23.1655,24.3413,20.1297,18.7549,26.058,29.8924,20.8561,20.2961,33.4341,13.4037,26.6617,21.176,33.8397
2015.625,23.1647,10.7046,20.3576,23.8699,20.3172,26.7422,29.5201,23.9885,19.5032,24.2704,16.4744,7.7629,30.34,11.5046,16.0887,11.3094
2031.25,15.0042,20.5187,22.6324,19.4576,15.2025,4.7065,5.9899,9.3697,10.4976,12.7447,20.7436,25.5737,7.9687,27.6106,12.6508,29.137
2046.875,26.1803,9.4608,20.5297,20.1196,14.9827,17.2462,25.1652,15.4623,14.8686,3.8344,14.1629,26.5543,3.8406,25.8574,13.7702,13.4706
2062.5,15.8751,9.0179,20.0604,14.4787,29.374,8.3608,11.7008,3.5417,5.7433,18.1769,8.2753,9.086,15.2156,6.6251,6.771,24.2712
2078.125,21.846,7.5176,14.2855,23.859,12.2512,5.1467,8.0664,6.2607,5.5829,8.14,9.3154,25.4647,3.7375,21.8676,7.5672,18.1427
2093.75,13.4838,1.9525,14.2316,14.4071,17.7397,3.5975,11.2009,5.9436,14.1226,5.8642,3.2377,11.1164,8.4754,20.4645,14.6228,22.9662
2109.375,14.5106,6.2025,15.3098,14.7121,12.749,5.2693,8.4854,8.2906,0.6876,5.2293,3.8951,14.0837,11.2315,8.9487,11.8807,7.6663
2125,23.1674,12.7982,16.0379,18.7143,11.6687,14.9107,12.2396,1.3645,10.622,8.6835,15.2252,14.7607,11.0308,15.5052,3.4391,24.1863
2140.625,16.7389,8.1077,13.746,24.5348,17.269,9.0424,8.9046,17.3074,9.6412,7.4768,11.1917,11.7089,5.6092,20.333,5.9173,13.2949
