Frequency(Hz),REC0.wav,REC1.wav,REC2.wav,REC3.wav,REC4.wav,REC5.wav,REC6.wav,REC7.wav,REC8.wav,REC9.wav,REC10.wav,REC11.wav,REC12.wav,REC13.wav,REC14.wav,REC15.wav,REC16.wav,REC17.wav,REC18.wav,REC19.wav,REC20.wav
1250,93.0214,76.3655,97.9361,113.0421,76.6561,88.6557,88.9773,49.4774,74.2863,57.6341,117.1354,91.5226,84.1303,89.5374,53.9126,53.1766,45.3302,123.1898,104.3354,73.5981,81.4922
1265.625,89.3305,74.095,82.7809,79.1763,82.503,101.6003,80.4697,111.2474,104.2997,98.4942,64.0292,104.6846,88.0218,91.4589,133.5017,106.9988,112.8849,66.3598,69.5489,101.5388,103.8747
1281.25,82.5269,143.1749,83.4378,96.1565,84.8183,67.4332,98.771,59.7524,78.5652,89.2205,86.0044,77.3443,68.4895,73.8126,69.7376,76.9368,68.4326,108.1736,105.4362,89.853,81.913
1296.875,92.0355,54.5782,95.2782,89.0929,79.5091,99.4537,91.3708,102.7201,102.5328,95.7876,77.6745,95.9565,86.8986,89.4952,80.5355,85.5978,80.2377,57.4607,82.7382,100.0527,100.1331
1312.5,81.3488,120.6488,87.2885,89.2336,79.4786,83.9961,83.0444,83.1273,84.2108,85.4105,79.0933,92.2777,84.3351,94.0762,96.2938,99.1265,67.9407,86.8863,97.9127,68.758,73.6555
1328.125,83.9597,67.2859,85.5998,87.9351,90.2949,82.5468,83.7394,74.4218,75.291,92.1039,103.0379,75.1229,79.7831,90.1293,104.2547,48.1722,94.7858,96.8109,77.7782,111.3858,107.5051
1343.75,98.7656,117.7539,88.0567,93.5657,65.0808,88.7085,81.0243,68.1672,92.9123,86.6063,46.2782,116.2268,71.0865,87.9865,55.0906,85.3508,71.3079,85.1497,83.5828,68.608,82.9064
1359.375,85.2233,72.5522,87.8567,79.1229,64.0192,73.6004,82.9806,96.6615,72.5134,76.9877,76.9335,51.6592,73.2661,72.5566,97.8686,68.4637,68.6991,91.4214,97.4144,96.5133,80.9117
1375,83.4893,77.593,77.1611,73.8489,85.7417,97.5589,80.8847,46.3194,99.3254,99.4887,82.3615,111.734,67.558,89.7584,92.0342,77.3794,61.9488,61.3143,56.9883,81.1372,73.156
1390.625,72.6314,89.5001,77.6074,92.1316,60.5335,80.372,69.2629,76.4559,45.3768,57.6663,44.3053,59.3223,76.4398,81.9425,52.1183,64.7711,79.278,96.7659,95.9825,70.1077,80.3865
1406.25,78.7511,57.9435,65.9129,64.1159,56.618,73.8142,84.3013,56.9579,104.3461,82.1462,78.9565,81.7999,55.762,63.0468,99.7074,61.1511,61.9915,70.6842,77.2681,79.6912,74.6997
1421.875,66.3365,71.6709,94.7762,68.3038,70.0203,58.1985,74.8298,48.9138,51.9566,57.7542,57.0156,74.523,55.6102,83.9455,49.1644,59.1964,56.3168,62.0996,70.5287,74.076,75.8113
1437.5,67.4615,68.0182,53.8338,61.4857,50.1749,65.123,71.5171,69.0346,54.626,71.1116,55.0869,61.5761,77.2423,45.4763,82.3816,62.0886,61.9689,80.1405,51.0163,49.6226,56.7354
1453.125,71.8316,67.2542,55.6939,62.762,56.5283,71.4583,43.1207,44.8969,83.0532,64.2915,53.6368,56.9349,45.5107,56.332,56.5114,38.8921,38.4307,53.1633,64.3916,65.3955,50.8585
1468.75,43.3922,40.2601,37.7007,51.6673,49.0367,43.504,45.7631,40.9941,49.6625,44.6472,43.0316,51.5826,46.7507,59.3736,49.6126,51.7785,53.8156,60.4658,52.112,61.276,46.4925
1484.375,46.8703,52.1542,54.0669,47.1771,32.3731,38.0095,62.7108,36.5421,49.6597,50.674,32.7813,53.5901,44.3799,42.0748,36.5096,39.3651,40.6541,41.5578,37.3281,45.1367,69.5362
1500,44.0821,38.4988,48.507,55.9735,40.4539,48.0893,29.9546,43.8879,39.9384,39.0662,56.5838,36.9667,28.1216,39.5683,53.8185,47.2856,31.53,45.0495,48.5318,26.4107,34.3262
1515.625,38.1862,27.7081,30.6648,11.9746,24.2489,32.6639,42.9868,22.9949,35.8509,40.1471,19.7094,39.1375,40.1519,32.224,25.637,26.8073,43.3231,25.796,38.168,48.404,25.1211
1531.25,22.3137,42.3418,24.9725,37.114,33.879,19.614,28.446,37.0477,27.3877,12.8998,33.6219,26.7909,23.8409,40.0751,40.5484,23.7884,17.8602,38.0291,35.2568,16.8732,40.5004
1546.875,18.8975,11.6596,15.9247,31.4221,24.5759,24.4266,24.0682,21.0905,24.9638,33.6272,17.1933,38.2093,28.3764,19.4991,18.8266,33.0051,28.0334,30.9059,5.8385,24.1624,13.3009
1562.5,12.4956,23.486,18.8232,4.8031,16.2624,22.3265,22.3005,5.8089,13.2137,6.4055,13.7063,10.6836,8.0319,20.5376,30.7643,3.9673,10.0947,16.0618,24.0599,20.6082,9.5155
1578.125,19.8439,16.5521,12.422,11.7025,19.5642,24.563,22.5749,23.6227,5.9384,9.9981,22.7155,7.6324,29.0219,2.5204,7.2484,27.4105,20.8381,4.0624,8.9629,5.7922,20.1093
1593.75,12.2967,8.6219,6.847,5.064,3.6275,27.543,7.7507,9.0843,8.9424,22.7186,10.2098,12.9502,12.7734,6.2749,2.6473,3.9828,5.8858,13.6954,5.5388,6.0719,20.4354
1609.375,2.7785,7.0181,2.0908,8.4,18.7993,21.2878,14.9371,13.0777,8.0785,20.0681,15.7254,2.8495,7.4397,10.019,6.6374,9.142,14.3932,22.9822,10.7287,2.4915,13.0392
1625,22.6688,19.6932,15.6164,28.237,2.3198,25.5193,14.5297,9.2113,10.3902,4.8601,7.9046,17.6451,17.813,4.1242,9.0777,11.2429,17.5154,12.0415,3.105,8.9823,19.4775
1640.625,9.9026,16.782,25.6722,0.9913,25.6173,12.5333,25.224,7.9973,12.3818,28.3743,17.8996,3.0764,24.4802,24.2143,17.634,19.6791,6.3327,12.5406,29.3891,28.8508,19.673
1656.25,22.1595,22.3983,22.5762,27.803,2.8799,22.6073,19.8302,31.7416,22.2004,20.1294,15.1191,32.7329,17.7247,19.7261,27.8629,8.4665,19.226,31.8468,19.5791,13.4729,19.6447
1671.875,37.4567,20.9327,20.5609,30.7126,27.8561,31.1185,22.5359,25.7947,25.5854,30.6293,22.9092,20.6106,26.3264,17.8587,19.8473,17.0296,21.8747,21.9347,31.821,27.2233,36.2262
1687.5,19.7523,37.3513,36.4026,29.6481,21.1521,28.398,43.0289,16.6106,23.1388,41.9704,27.345,39.0533,16.8785,31.1422,33.9077,22.9851,23.375,43.658,16.422,34.4748,22.4325
1703.125,39.2815,36.8344,35.8229,35.954,24.522,35.337,35.3707,27.4704,39.1536,18.8962,15.0695,34.4398,32.5148,40.606,35.5886,30.4412,26.6195,24.6925,45.7626,42.0616,27.3943
1718.75,35.2937,43.5206,37.5917,39.8839,21.9023,31.5829,32.0905,26.2216,47.4582,40.8944,30.0748,37.9489,21.213,36.8308,32.3129,22.5323,22.6384,41.4978,37.4564,34.7049,57.0476
1734.375,50.4825,36.6495,45.5862,38.6021,32.5308,46.191,46.9004,26.4894,33.5176,46.5044,36.1895,40.8745,33.0899,39.3846,52.95,36.2198,29.0821,41.6724,40.6438,42.4319,27.4211
1750,35.3928,45.9059,41.175,37.0526,26.617,48.5986,47.0983,30.2053,42.0787,43.3072,25.1799,33.0324,18.8528,47.9298,37.0649,24.1827,37.8334,55.5022,43.2899,41.3292,46.8847
