Frequency(Hz),REC0.wav,REC1.wav,REC2.wav,REC3.wav,REC4.wav,REC5.wav,REC6.wav,REC7.wav,REC8.wav,REC9.wav,REC10.wav,REC11.wav,REC12.wav,REC13.wav,REC14.wav,REC15.wav,REC16.wav,REC17.wav,REC18.wav,REC19.wav,REC20.wav
953.125,60.5965,32.7406,65.343,46.7687,41.1239,22.1937,25.626,40.0468,36.6334,66.1979,55.5599,53.8117,69.5476,47.9681,34.5519,54.8364,36.7026,36.2636,35.6176,27.0072,31.776
968.75,38.346,53.6871,49.662,54.4246,46.541,74.7195,63.3002,68.3282,64.5807,43.5167,54.7826,57.066,11.9752,48.4781,37.413,43.9983,42.8207,46.0736,39.0824,21.5783,36.0637
984.375,68.5,34.9041,49.5962,62.323,5.7829,31.7372,68.0513,44.7438,51.8694,53.9922,43.7132,46.1732,66.1623,50.357,37.2101,58.2325,26.6551,42.1572,43.9602,46.8577,47.0905
1000,36.3048,57.6166,52.174,52.5323,95.3352,53.221,49.5891,63.6908,54.2372,61.7932,65.8989,71.3546,66.3119,38.2412,45.2347,49.9435,56.6745,49.7146,36.5355,41.018,46.0824
1015.625,68.3753,44.5098,39.1999,44.4721,41.3738,31.9015,36.8446,44.2238,55.3503,38.0396,48.1557,35.3959,33.8705,41.4384,35.6094,50.8243,54.5022,51.3101,57.2109,36.1496,31.1909
1031.25,50.8375,58.5976,60.8173,63.5331,35.9272,55.851,69.7525,60.2917,50.01,59.3423,64.084,68.4602,63.6925,63.342,51.145,60.9813,39.8213,66.9864,50.7199,49.7058,51.9306
1046.875,55.7217,44.7048,66.5532,45.3578,85.8319,55.1518,60.5696,70.012,61.006,51.8961,52.8575,57.5736,62.98,41.152,49.3877,48.3452,55.678,50.7555,42.6999,53.711,57.1507
1062.5,64.5343,66.2212,57.1017,73.2002,44.8836,60.5622,72.9679,42.7275,55.2493,43.7393,55.3657,51.1458,59.6717,63.6743,50.816,61.7532,54.4678,60.9777,63.032,53.4012,53.8975
1078.125,58.655,57.0385,62.3902,65.4697,63.484,64.3222,47.4754,67.1527,54.7921,75.5474,67.4837,77.0098,63.6264,54.9917,64.07,63.2038,59.7242,52.3894,50.8649,59.6411,63.2223
1093.75,66.0518,57.4384,68.0075,53.3672,65.3086,67.3525,41.5993,61.5635,72.1213,71.442,64.4363,56.0765,60.8625,58.1904,57.9518,57.2056,67.9434,71.3874,65.1848,54.2583,54.3133
