Frequency(Hz),REC1.wav,REC2.wav,REC3.wav,REC4.wav,REC5.wav,REC6.wav,REC7.wav,REC8.wav,REC9.wav,REC10.wav,REC11.wav,REC12.wav,REC13.wav,REC14.wav,REC15.wav,REC16.wav,REC17.wav,REC18.wav,REC19.wav,REC20.wav,REC21.wav,REC22.wav
5828.125,40.8095,160.1222,78.3585,23.9993,34.2952,49.9871,162.2297,75.6179,20.7602,43.3392,116.9441,31.9539,18.1343,24.808,51.2765,21.5847,48.7645,26.4313,106.9442,45.031,24.4798,39.0673
5843.75,42.121,73.1385,72.1039,23.7586,35.0052,88.8188,165.6807,11.2672,19.5653,42.9963,182.6356,1.771,17.0386,88.7313,23.478,38.161,48.3521,36.4752,158.0693,29.1081,12.9022,35.609
5859.375,30.6058,68.1353,83.4825,12.0991,32.6249,136.0847,159.2278,44.4875,15.5182,38.1157,63.6946,30.4866,38.4783,40.4152,32.0234,47.835,41.6336,45.0775,74.374,32.626,23.2283,34.8235
5875,22.7903,83.5629,49.2329,4.933,34.5372,107.8398,63.152,31.8422,13.3614,33.1516,123.521,32.6323,4.0967,41.8731,55.346,18.0018,44.2303,6.9955,205.4593,23.5443,6.8153,28.0276
5890.625,45.2962,89.6587,70.3842,56.8865,29.4167,82.8377,81.2058,54.5779,16.4273,29.0143,181.3047,11.6884,53.8942,38.9395,24.731,42.9373,31.0088,13.0018,279.9312,25.2839,19.7647,26.3993
5906.25,26.7583,173.242,67.4307,37.6568,20.8285,58.4835,106.1962,36.5362,13.1485,26.6982,120.6655,21.8711,39.1829,67.1541,48.2761,18.9005,18.5886,32.0544,134.677,25.9216,9.9232,23.1607
5921.875,50.6566,72.954,61.8113,17.7732,25.2388,55.3923,118.136,19.3252,10.1005,21.7391,129.2487,23.8502,22.7825,44.076,12.1174,12.3075,19.5471,61.326,59.2876,22.3399,7.9851,21.0758
5937.5,23.1103,75.1175,38.4008,44.4428,13.8287,80.2093,84.6431,23.8029,7.1824,20.0859,189.625,17.9466,25.9109,68.3152,23.4088,17.5975,27.5731,15.3346,66.9246,22.99,15.3553,16.0147
5953.125,7.338,116.7245,59.5356,29.6551,19.7414,88.8228,209.9684,8.321,7.7321,21.232,100.4905,10.3526,42.5212,67.3322,30.9798,8.1863,11.0088,21.239,174.2965,26.4887,26.6156,16.5758
5968.75,25.3885,64.2858,75.0574,14.983,14.0221,139.2291,176.7101,35.964,8.3099,15.8972,26.0556,11.6665,43.4962,74.6718,14.3939,12.7017,18.4357,18.4225,79.667,24.0276,6.9171,12.9347
5984.375,23.3964,140.6381,67.9878,35.1366,6.8744,56.8791,196.6363,28.6939,10.3248,8.4617,4.2762,16.1081,13.3567,65.6448,28.5791,9.6821,7.4554,43.3328,9.2772,19.7576,22.469,15.0767
