Frequency(Hz),REC1.wav,REC2.wav,REC3.wav,REC4.wav,REC5.wav,REC6.wav,REC7.wav,REC8.wav,REC9.wav,REC10.wav,REC11.wav,REC12.wav,REC13.wav
1906.25,37.0841,33.5275,25.481,32.9647,32.8707,46.6009,54.1662,45.6143,47.9676,44.9517,46.5925,35.0419,37.6552
1921.875,34.1553,31.3919,43.0695,28.4783,38.5764,36.1533,47.8139,18.626,42.3584,45.2325,44.6415,42.4217,49.4288
1937.5,45.8211,39.0015,25.7284,32.0747,34.3797,39.3991,25.0968,41.5734,29.153,38.5138,35.6655,34.1413,34.24
1953.125,23.9044,21.4828,31.0951,20.4559,34.9279,24.5022,40.3467,32.0439,40.2916,34.5963,34.789,34.944,29.914
1968.75,40.2115,30.4299,29.3683,34.6426,31.9364,42.2346,29.8819,16.2433,26.726,24.1276,33.8719,38.0521,40.984
1984.375,21.4137,31.7984,25.2952,24.2523,33.1973,23.1171,27.3869,28.9048,28.8204,33.4042,26.9548,24.7484,25.0004
2000,21.5777,16.0013,24.5239,31.152,21.1899,34.8401,22.0349,38.41,28.4489,29.9499,26.6201,24.8424,27.4389
2015.625,30.6184,21.8929,26.0563,27.2324,31.7052,12.3024,30.8259,20.8335,22.5397,21.8469,16.5358,26.8139,16.7636
2031.25,36.0213,32.9175,28.4111,27.0029,24.1497,33.3289,16.7182,20.7555,13.5389,20.2132,21.1706,7.2892,21.2358
2046.875,17.2623,14.9991,11.0906,19.9203,18.4008,7.0953,14.0001,18.5278,20.6675,11.206,11.1635,26.6782,26.691
2062.5,13.9999,13.8559,25.6748,4.4156,19.7949,15.3889,17.6908,26.584,11.3916,9.4154,13.7783,5.6269,4.7195
2078.125,14.1691,30.8595,19.2057,33.6908,20.8281,11.0211,4.3846,12.5083,8.2832,9.626,1.9614,6.1707,1.3664
2093.75,15.8472,14.1788,18.1104,13.8928,21.4852,7.9389,2.8418,23.5119,6.3039,5.387,10.193,5.4113,7.361
2109.375,10.9316,32.307,16.8468,11.9383,18.3433,20.6381,2.615,15.5808,10.3755,14.6666,2.4553,3.011,19.5721
2125,1.0143,7.0544,9.9776,16.4152,20.6919,19.6933,9.3866,21.2778,1.8511,20.5426,4.0657,9.2001,19.5981
2140.625,17.5435,12.4373,21.125,11.8519,14.8682,4.9085,6.2952,14.8671,6.3405,14.1091,11.4365,3.4813,17.2916
2156.25,14.6454,22.6713,14.5807,26.1388,15.762,11.2706,19.5701,12.8695,12.1151,9.2207,9.2974,10.9258,19.4888
2171.875,18.0791,8.0891,9.9208,18.0101,15.7568,19.9997,9.7125,16.8535,16.0731,14.3708,16.2505,9.2576,4.8374
2187.5,15.4353,27.6332,18.7535,2.3612,16.0688,8.0799,12.5187,13.939,14.1274,13.4516,15.6583,20.8177,26.8221
2203.125,22.004,11.8109,18.783,15.8959,11.4904,28.5854,20.079,18.9918,14.3166,25.7311,8.9554,16.2331,15.516
2218.75,21.1017,11.1874,15.7913,22.961,18.8179,9.7448,18.9952,25.4911,12.5704,13.1513,24.8389,12.1451,12.9814
2234.375,11.9394,15.4395,10.877,9.3143,12.9766,29.5642,14.3677,4.7033,23.3967,18.778,19.7094,26.4979,25.9272
2250,17.1293,5.5546,11.1441,12.0838,7.4948,10.3973,22.7871,11.1497,24.9761,27.6637,13.3421,11.5725,13.18
2265.625,24.9353,16.3316,15.8579,8.6681,15.623,24.9694,19.3164,16.4777,21.322,14.258,29.3738,28.1224,20.7096
2281.25,16.5926,16.7514,16.252,21.3428,17.4961,28.3301,17.4983,24.3213,21.938,22.777,15.0595,18.0496,24.3866
2296.875,22.2765,9.1215,12.7334,21.0431,11.1507,14.6465,29.5405,4.8895,22.2381,21.162,24.8888,17.7952,20.3175
2312.5,21.8903,18.9271,9.3121,4.6667,8.924,27.7177,12.584,14.7614,17.3063,19.738,19.4361,21.3847,16.0118
2328.125,8.0717,12.8052,18.5945,23.1761,14.7614,11.4429,21.0949,17.7276,20.0601,17.1744,13.3464,20.8508,31.0851
