Frequency(Hz),REC1.wav,REC2.wav,REC3.wav,REC4.wav,REC5.wav,REC6.wav,REC7.wav,REC8.wav
3484.375,38.0301,54.3498,49.1618,44.7251,58.9124,46.7595,45.4317,48.4711
3500,50.514,56.4384,47.1811,45.1814,47.2511,41.296,51.2747,44.5505
3515.625,42.8371,49.0255,48.2844,55.654,52.221,47.6206,48.0268,46.6597
3531.25,40.9497,48.1062,43.7463,34.9979,47.2694,43.6542,46.4127,50.3908
3546.875,44.3208,46.8927,41.0435,48.8924,56.0871,45.1624,45.4378,44.5909
3562.5,37.9326,55.3383,44.2116,43.2634,47.664,42.004,44.508,39.9125
3578.125,43.5259,39.9445,41.6418,38.3347,51.4188,36.3589,37.0964,36.0549
3593.75,29.1206,44.7486,36.6679,42.4429,40.9607,44.9178,32.5772,43.4765
3609.375,42.4104,49.5073,29.7207,32.1564,45.7141,35.8923,38.9805,32.7914
3625,29.5917,36.7784,41.7937,38.9082,40.4681,29.553,35.0097,39.6312
3640.625,24.6915,41.333,25.8943,23.3941,38.702,29.0762,28.463,29.278
3656.25,32.0554,39.0343,29.9815,35.4892,42.8815,29.6098,29.5023,27.8266
3671.875,20.9624,31.9511,24.6102,20.0881,27.4945,22.1476,30.2997,27.9461
3687.5,26.8707,38.9768,24.3172,25.2543,37.6162,26.73,23.0872,23.3949
3703.125,18.7233,32.713,26.5115,27.4453,30.7288,27.4681,20.3114,28.6857
3718.75,30.929,36.2446,22.9918,25.278,38.8414,23.4654,30.2012,17.3471
3734.375,21.6579,30.6878,29.2174,24.264,32.1297,28.6505,24.6512,31.0978
3750,31.8614,33.9173,17.0839,35.2218,30.965,31.8463,28.2556,31.0957
3765.625,31.1903,37.5356,46.4469,30.5008,37.5029,30.9655,38.503,32.3339
3781.25,42.5798,34.9255,26.2063,42.9701,39.3986,36.027,39.0301,37.7018
3796.875,45.2523,41.0483,48.4215,41.0683,40.3863,44.6962,35.2169,43.3016
3812.5,46.4941,41.5571,41.9853,46.0041,39.3567,41.9194,52.3041,45.6684
3828.125,45.2495,45.1292,55.532,53.4353,53.4245,51.0021,45.4942,49.4739
3843.75,49.6724,49.1542,53.5464,54.1022,46.9153,57.9096,61.4577,54.2557
3859.375,70.3235,45.5397,54.5374,56.2387,50.5382,61.0399,52.1456,61.4992
3875,59.6183,55.9807,68.0387,62.3082,46.2316,60.6138,65.1524,63.3443
3890.625,54.4118,53.7734,65.1085,68.2132,57.6764,59.8291,71.5371,64.0182
3906.25,74.1206,55.3966,66.6718,66.1771,54.6721,72.3642,60.3026,68.7741
3921.875,78.0316,60.2446,71.0224,76.4984,54.5641,73.6687,71.5548,74.739
3937.5,61.4187,55.867,73.4781,70.2944,69.8249,68.7911,73.2849,72.7483
3953.125,78.4413,63.3842,74.9587,73.5983,55.4638,76.948,81.1198,72.1256
3968.75,74.6098,60.9871,74.9194,75.944,65.4556,70.0654,67.8998,75.3036
3984.375,77.0513,62.189,74.4078,76.9372,53.4206,79.3419,80.7235,78.4439
4000,71.1965,62.0761,78.8027,77.2337,66.8318,79.2243,75.9036,75.5783
4015.625,79.6169,60.3477,73.1183,76.6596,57.3969,76.2571,75.941,76.3562
4031.25,73.2601,58.5914,78.9334,71.1621,61.9931,69.6361,69.4534,73.9772
4046.875,67.5664,60.1821,72.3823,76.2056,57.8428,75.4159,74.3695,74.3039
4062.5,79.517,54.6869,70.5734,71.2092,64.4038,70.3446,77.814,75.7783
4078.125,62.0595,59.101,68.213,65.4955,51.6815,70.8525,66.0545,66.0438
4093.75,60.0147,54.0947,69.8232,75.4762,52.2448,69.581,61.0165,66.1033
4109.375,70.7426,52.699,61.6623,51.6874,56.9817,57.578,66.8633,62.4382
4125,55.6363,49.8865,54.9814,65.1412,46.6174,65.4873,60.209,55.2152
4140.625,56.1829,41.9332,59.5069,57.4142,47.9161,49.5979,55.5154,62.2273
4156.25,52.7173,48.2041,50.6513,49.4037,43.384,48.2995,49.9441,48.4188
4171.875,49.5943,39.2974,50.8284,49.6929,43.3053,56.8921,49.6587,50.9648
4187.5,37.5937,41.5129,39.574,42.6591,40.0551,41.577,43.8085,38.9115
4203.125,41.5915,38.4774,41.1103,40.6345,32.849,38.0512,40.7281,41.2415
4218.75,38.2956,29.2271,38.6371,32.0295,41.5573,33.7955,31.7737,32.6723
4234.375,25.771,30.7348,24.5997,32.5079,30.6623,33.7764,36.2905,36.1971
4250,33.9516,29.7079,33.61,26.0086,20.8297,25.5919,23.9416,23.4627
4265.625,16.1807,26.8456,18.1775,21.1837,29.3305,19.5486,25.8409,22.478
4281.25,22.6812,23.145,25.3731,27.2396,22.5035,23.8458,15.9875,23.8481
4296.875,17.9246,22.7127,11.1982,8.5036,26.3476,13.587,15.9308,10.6703
4312.5,18.7626,22.9656,19.555,19.8582,22.4791,13.7033,17.8358,14.6382
4328.125,11.0762,17.4525,2.1323,8.6217,15.2177,7.7829,10.4292,8.7156
4343.75,5.8843,16.0202,13.0484,6.0339,19.4437,11.2195,8.543,10.4071
4359.375,12.9882,26.6991,3.7555,6.6765,15.4276,7.1405,7.2375,1.4563
4375,7.889,13.9861,7.506,3.5555,20.2552,2.934,11.0638,9.9618
4390.625,3.5339,17.8794,7.3111,10.4697,18.0724,11.9638,5.2876,3.6286
4406.25,3.3003,19.6424,9.6651,3.791,19.9967,3.7753,7.3684,9.5591
4421.875,10.6993,12.8334,5.2157,14.0252,13.7825,6.579,7.6206,4.0994
4437.5,13.4192,17.9608,9.6269,5.734,16.2496,9.0183,10.4737,13.4709
4453.125,10.9504,16.9259,7.5251,11.5021,16.5414,13.2614,3.7244,9.4877
4468.75,12.4032,16.0661,9.2211,9.7661,16.7047,12.8603,14.5224,9.2602
4484.375,7.5697,16.503,5.2806,6.9091,16.7215,11.527,6.2483,3.737
4500,16.9964,21.4947,16.4754,11.807,20.2481,7.5824,18.1952,12.1563
4515.625,3.3579,13.7163,8.9689,15.6205,14.1004,10.1266,6.2473,10.486
4531.25,14.6351,16.6226,11.4472,8.9099,17.7963,16.1359,10.353,12.4269
