Frequency(Hz),REC0.wav,REC1.wav,REC2.wav,REC3.wav,REC4.wav,REC5.wav,REC6.wav,REC7.wav,REC8.wav,REC9.wav,REC10.wav,REC11.wav,REC12.wav,REC13.wav,REC14.wav,REC15.wav,REC16.wav
1437.5,61.4666,62.0675,54.9441,48.9595,55.6726,58.1425,66.8045,53.9931,66.924,53.1921,61.7092,50.7751,39.998,59.8098,64.3439,59.3187,57.6409
1453.125,44.2529,62.4181,48.3172,47.7611,47.0033,61.0463,55.6338,53.3863,55.0896,39.116,55.1485,61.9296,63.856,51.7201,43.3535,51.4552,50.5327
1468.75,49.4404,47.2414,40.7942,56.3582,46.2489,42.0429,53.7825,39.2757,57.4615,60.137,55.4924,53.3367,41.1406,37.2676,42.9161,39.1475,62.1498
1484.375,35.6692,47.6324,45.0054,31.7583,42.0017,64.0317,44.1574,45.8803,44.8528,42.9487,51.9682,46.9292,45.7519,45.4645,50.1021,46.5284,47.5782
1500,41.3558,39.9416,39.9677,50.3378,41.8024,30.0532,44.3668,33.8833,39.2451,23.6383,36.1953,33.9687,33.3611,35.3527,32.0063,36.8966,39.0459
1515.625,28.6019,43.5388,21.974,26.6264,24.6739,39.102,38.8634,29.9659,37.479,37.4927,37.3454,42.3302,35.9521,42.4526,29.625,29.8338,33.6926
1531.25,26.7149,16.2088,37.7929,22.1835,23.1668,34.9471,26.1378,25.8376,29.6437,26.9544,29.1664,23.2355,19.4764,22.5563,33.5064,34.8621,30.1123
1546.875,19.8497,29.2467,15.9925,25.421,26.6917,16.2193,18.4886,19.9994,19.2294,27.7964,20.5569,22.7787,26.3626,20.2071,25.1369,19.4302,27.9144
1562.5,32.1519,12.478,18.3215,21.2562,18.1868,12.9843,27.8934,28.1678,23.5087,5.7188,17.2103,27.625,24.4999,21.1378,13.973,21.4688,19.2544
1578.125,5.8774,17.5641,17.6098,19.9984,18.1279,15.0536,3.72,8.4201,0.449,22.7289,13.6503,6.6031,29.9275,20.7887,19.0762,9.5416,14.3581
1593.75,6.3015,10.5762,4.6509,11.5001,10.7311,8.1748,4.7846,17.3955,6.0367,10.391,2.7567,12.016,10.8774,6.8232,4.539,15.1041,9.6094
1609.375,14.5622,14.7185,26.4954,5.772,9.4412,13.4521,6.1544,18.329,6.5607,17.673,8.9372,6.2096,17.4816,20.4271,25.7011,4.7916,11.3507
1625,20.636,11.6853,7.1853,15.4487,12.9098,7.5553,16.5367,4.4625,15.1161,6.6521,9.2569,14.8725,8.151,9.4459,5.169,20.8995,7.8868
1640.625,3.7816,30.4175,14.9851,6.017,15.1748,19.7968,5.4899,33.9876,10.6476,13.9226,16.6044,19.8744,15.2663,16.2782,18.8785,5.2535,12.127
1656.25,22.243,15.7648,20.8306,31.2752,16.146,26.2281,27.3972,18.2932,21.7632,18.1764,27.173,40.719,24.4076,13.7921,21.2222,20.7935,28.0324
1671.875,8.6598,25.3557,21.7541,7.9336,19.8761,25.1435,32.715,18.2379,17.1942,17.7891,13.4279,4.7332,8.0202,15.9753,17.8104,13.0849,21.9385
1687.5,31.1181,31.8373,16.7848,40.1853,10.3958,23.4891,20.8731,26.5166,41.6217,18.7352,34.0916,48.6161,24.1197,22.6461,21.7333,23.3852,34.8946
1703.125,20.4524,37.9729,24.9342,12.9594,34.6811,32.225,27.8353,5.4316,34.0645,35.4786,42.7754,27.1443,24.3628,28.7917,36.6787,28.7374,28.8411
1718.75,40.7,33.3244,33.9348,31.6165,27.053,51.8613,46.724,36.0437,35.5058,21.8086,25.8933,35.0794,28.1808,26.5512,15.6248,18.0256,45.4158
1734.375,26.0343,43.5882,32.5852,41.3749,33.1245,33.9255,41.4583,25.3466,43.5991,26.8461,55.6704,42.4175,34.9492,26.2743,45.5537,34.3377,34.0863
1750,18.5999,39.5613,39.9978,23.1537,30.9636,36.6536,40.9114,38.392,36.9752,32.8588,32.2764,39.3564,25.2601,31.8606,17.4694,30.474,45.0765
